 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
26	pulsar-126.fit	26.000000	0.000000	56941.432839	2456941.432839	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1694.007378	2425.376748	0.698451	2030.000000	2000.146469	1999.408018	32.592376	28.227641	36.957112	87.456161	0.930220
27	pulsar-127.fit	27.000000	0.000000	56941.432850	2456941.432850	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1487.867696	2416.168256	0.615796	2029.000000	2000.015693	1999.367102	37.521107	30.680495	44.361718	285.575054	0.829965
28	pulsar-128.fit	28.000000	0.000000	56941.432862	2456941.432862	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2389.602996	2420.712187	0.987149	2025.000000	2000.233653	1999.191978	35.630974	29.450834	41.811115	279.321375	0.873681
29	pulsar-129.fit	29.000000	0.000000	56941.432873	2456941.432873	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2290.831318	2423.758757	0.945156	2026.000000	2000.491718	1999.493099	32.658705	28.933324	36.384085	80.396313	0.943125
30	pulsar-130.fit	30.000000	0.000000	56941.432885	2456941.432885	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2173.471482	2422.546903	0.897184	2023.000000	2000.396687	1999.449228	38.297750	31.420583	45.174918	83.578317	0.872657
31	pulsar-131.fit	31.000000	0.000000	56941.432908	2456941.432908	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4750203.544374	3258.063360	1457.983783	10496.000000	4079.648213	2008.940478	24.334607	22.888104	25.781110	77.376526	0.982845
32	pulsar-132.fit	32.000000	0.000000	56941.432920	2456941.432920	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2683.285714	2428.829959	1.104765	2029.000000	2000.297733	1999.128036	34.298748	34.653887	33.943608	37.101969	0.994214
33	pulsar-133.fit	33.000000	0.000000	56941.432931	2456941.432931	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1880.229911	2427.542456	0.774540	2024.000000	2000.028335	1999.208705	33.329038	25.822611	40.835466	88.551413	0.815747
34	pulsar-134.fit	34.000000	0.000000	56941.432943	2456941.432943	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2278.361012	2425.262209	0.939429	2024.000000	2000.500000	1999.506817	36.973967	36.420051	37.527882	75.919174	0.998845
35	pulsar-135.fit	35.000000	0.000000	56941.432954	2456941.432954	NaN	NaN	NaN	NaN	NaN	-24.437500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2060.715702	2420.712072	0.851285	2020.000000	1999.992589	1999.094283	31.696468	28.288505	35.104431	67.437762	0.909225
